function_id,function_name,source_file,category,loc,has_for_loop,has_while_loop,has_nested_loops,has_list_comp,has_dict_comp,has_generator,has_numpy,has_pandas,has_torch,has_tensorflow,has_sklearn,has_string_ops,num_loops,num_function_calls,num_arithmetic_ops,cyclomatic_complexity,baseline_emissions_kg,optimized_emissions_kg,reduction_pct,optimizer_ran,error,source_code,optimized_source,cluster
huggingface__transformers__src__transformers__dynamic_module_utils.py__resolve_trust_remote_code,resolve_trust_remote_code,huggingface/transformers:src/transformers/dynamic_module_utils.py,ml,83,0,1,0,0,0,0,0,0,0,0,0,1,1,13,0,14,1.037057811852719e-09,7.24053929981892e-10,30.18191255043351,True,,"def resolve_trust_remote_code(
    trust_remote_code, model_name, has_local_code, has_remote_code, error_message=None, upstream_repo=None
):
    """"""
    Resolves the `trust_remote_code` argument. If there is remote code to be loaded, the user must opt-in to loading
    it.

    Args:
        trust_remote_code (`bool` or `None`):
            User-defined `trust_remote_code` value.
        model_name (`str`):
            The name of the model repository in huggingface.co.
        has_local_code (`bool`):
            Whether the model has local code.
        has_remote_code (`bool`):
            Whether the model has remote code.
        error_message (`str`, *optional*):
            Custom error message to display if there is remote code to load and the user didn't opt-in. If unset, the error
            message will be regarding loading a model with custom code.

    Returns:
        The resolved `trust_remote_code` value.
    """"""
    if error_message is None:
        if upstream_repo is not None:
            error_message = (
                f""The repository {model_name} references custom code contained in {upstream_repo} which ""
                f""must be executed to correctly load the model. You can inspect the repository ""
                f""content at https://hf.co/{upstream_repo} .\n""
            )
        elif os.path.isdir(model_name):
            error_message = (
                f""The repository {model_name} contains custom code which must be executed ""
                f""to correctly load the model. You can inspect the repository ""
                f""content at {os.path.abspath(model_name)} .\n""
            )
        else:
            error_message = (
                f""The repository {model_name} contains custom code which must be executed ""
                f""to correctly load the model. You can inspect the repository ""
                f""content at https://hf.co/{model_name} .\n""
            )

    if trust_remote_code is None:
        if has_local_code:
            trust_remote_code = False
        elif has_remote_code and TIME_OUT_REMOTE_CODE > 0:
            prev_sig_handler = None
            try:
                prev_sig_handler = signal.signal(signal.SIGALRM, _raise_timeout_error)
                signal.alarm(TIME_OUT_REMOTE_CODE)
                while trust_remote_code is None:
                    answer = input(
                        f""{error_message} You can inspect the repository content at https://hf.co/{model_name}.\n""
                        f""You can avoid this prompt in future by passing the argument `trust_remote_code=True`.\n\n""
                        f""Do you wish to run the custom code? [y/N] ""
                    )
                    if answer.lower() in [""yes"", ""y"", ""1""]:
                        trust_remote_code = True
                    elif answer.lower() in [""no"", ""n"", ""0"", """"]:
                        trust_remote_code = False
                signal.alarm(0)
            except Exception:
                # OS which does not support signal.SIGALRM
                raise ValueError(
                    f""{error_message} You can inspect the repository content at https://hf.co/{model_name}.\n""
                    f""Please pass the argument `trust_remote_code=True` to allow custom code to be run.""
                )
            finally:
                if prev_sig_handler is not None:
                    signal.signal(signal.SIGALRM, prev_sig_handler)
                    signal.alarm(0)
        elif has_remote_code:
            # For the CI which puts the timeout at 0
            _raise_timeout_error(None, None)

    if has_remote_code and not has_local_code and not trust_remote_code:
        raise ValueError(
            f""{error_message} You can inspect the repository content at https://hf.co/{model_name}.\n""
            f""Please pass the argument `trust_remote_code=True` to allow custom code to be run.""
        )

    return trust_remote_code","def resolve_trust_remote_code(
    trust_remote_code, model_name, has_local_code, has_remote_code, error_message=None, upstream_repo=None
):
    if trust_remote_code is not None:
        if has_remote_code and not has_local_code and not trust_remote_code:
            if error_message is None:
                error_message = _build_error_message(model_name, upstream_repo)
            raise ValueError(
                f""{error_message} You can inspect the repository content at https://hf.co/{model_name}.\n""
                f""Please pass the argument `trust_remote_code=True` to allow custom code to be run.""
            )
        return trust_remote_code

    if has_local_code:
        return False

    if has_remote_code:
        if error_message is None:
            error_message = _build_error_message(model_name, upstream_repo)

        deny_msg = (
            f""{error_message} You can inspect the repository content at https://hf.co/{model_name}.\n""
            f""Please pass the argument `trust_remote_code=True` to allow custom code to be run.""
        )

        if TIME_OUT_REMOTE_CODE > 0:
            prev_sig_handler = None
            try:
                prev_sig_handler = signal.signal(signal.SIGALRM, _raise_timeout_error)
                signal.alarm(TIME_OUT_REMOTE_CODE)
                prompt = (
                    f""{error_message} You can inspect the repository content at https://hf.co/{model_name}.\n""
                    f""You can avoid this prompt in future by passing the argument `trust_remote_code=True`.\n\n""
                    f""Do you wish to run the custom code? [y/N] ""
                )
                while True:
                    answer = input(prompt).lower()
                    if answer in (""yes"", ""y"", ""1""):
                        return True
                    elif answer in (""no"", ""n"", ""0"", """"):
                        raise ValueError(deny_msg)
                signal.alarm(0)
            except ValueError:
                raise
            except Exception:
                raise ValueError(deny_msg)
            finally:
                if prev_sig_handler is not None:
                    signal.signal(signal.SIGALRM, prev_sig_handler)
                    signal.alarm(0)
        else:
            _raise_timeout_error(None, None)

    return trust_remote_code


def _build_error_message(model_name, upstream_repo):
    if upstream_repo is not None:
        return (
            f""The repository {model_name} references custom code contained in {upstream_repo} which ""
            f""must be executed to correctly load the model. You can inspect the repository ""
            f""content at https://hf.co/{upstream_repo} .\n""
        )
    elif os.path.isdir(model_name):
        return (
            f""The repository {model_name} contains custom code which must be executed ""
            f""to correctly load the model. You can inspect the repository ""
            f""content at {os.path.abspath(model_name)} .\n""
        )
    else:
        return (
            f""The repository {model_name} contains custom code which must be executed ""
            f""to correctly load the model. You can inspect the repository ""
            f""content at https://hf.co/{model_name} .\n""
        )",1
huggingface__transformers__src__transformers__image_utils.py__is_valid_annotation_coco_detection,is_valid_annotation_coco_detection,huggingface/transformers:src/transformers/image_utils.py,ml,13,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,2,5.909202186157927e-10,6.526291052403395e-10,-10.442845697359529,True,,"def is_valid_annotation_coco_detection(annotation: dict[str, list | tuple]) -> bool:
    if (
        isinstance(annotation, dict)
        and ""image_id"" in annotation
        and ""annotations"" in annotation
        and isinstance(annotation[""annotations""], (list, tuple))
        and (
            # an image can have no annotations
            len(annotation[""annotations""]) == 0 or isinstance(annotation[""annotations""][0], dict)
        )
    ):
        return True
    return False","def is_valid_annotation_coco_detection(annotation: dict[str, list | tuple]) -> bool:
    if not isinstance(annotation, dict):
        return False
    anns = annotation.get(""annotations"")
    if anns is None or ""image_id"" not in annotation or not isinstance(anns, (list, tuple)):
        return False
    return len(anns) == 0 or isinstance(anns[0], dict)",2
huggingface__transformers__src__transformers__image_utils.py__is_valid_annotation_coco_panoptic,is_valid_annotation_coco_panoptic,huggingface/transformers:src/transformers/image_utils.py,ml,14,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,2,4.790852827980411e-10,5.350476742547471e-10,-11.681091752571533,True,,"def is_valid_annotation_coco_panoptic(annotation: dict[str, list | tuple]) -> bool:
    if (
        isinstance(annotation, dict)
        and ""image_id"" in annotation
        and ""segments_info"" in annotation
        and ""file_name"" in annotation
        and isinstance(annotation[""segments_info""], (list, tuple))
        and (
            # an image can have no segments
            len(annotation[""segments_info""]) == 0 or isinstance(annotation[""segments_info""][0], dict)
        )
    ):
        return True
    return False","def is_valid_annotation_coco_panoptic(annotation: dict[str, list | tuple]) -> bool:
    if not isinstance(annotation, dict):
        return False
    if ""image_id"" not in annotation or ""segments_info"" not in annotation or ""file_name"" not in annotation:
        return False
    segments = annotation[""segments_info""]
    if not isinstance(segments, (list, tuple)):
        return False
    if len(segments) == 0:
        return True
    return isinstance(segments[0], dict)",2
huggingface__transformers__src__transformers__initialization.py__guard_torch_init_functions,guard_torch_init_functions,huggingface/transformers:src/transformers/initialization.py,ml,24,1,0,1,0,0,0,0,0,1,0,0,0,4,9,0,7,4.992886446721968e-10,6.330429437221025e-10,-26.78897276698951,True,,"def guard_torch_init_functions():
    """"""
    Guard the `torch.nn.init` primitive functions to behave exactly like the functions in this file, i.e. be
    protected against the `_is_hf_initialized` flag to avoid re-init if the param was already loaded.

    Usually, all models are using the init from `transformers` which are already guarded, but just to make extra sure
    and for remote code, we also use this context manager.
    """"""
    originals = defaultdict(dict)
    try:
        # Replace all torch funcs by the ones in this file
        for module_name in TORCH_MODULES_TO_PATCH:
            if module_name in sys.modules:
                module = sys.modules[module_name]
                for func_name in TORCH_INIT_FUNCTIONS.keys():
                    if hasattr(module, func_name):
                        originals[module][func_name] = getattr(module, func_name)
                        setattr(module, func_name, globals()[func_name])
        yield
    finally:
        # Set back the original functions on all modules
        for module, functions in originals.items():
            for func_name, func in functions.items():
                setattr(module, func_name, func)","def guard_torch_init_functions():
    originals = defaultdict(dict)
    try:
        global_vars = globals()
        modules_to_patch = []
        for module_name in TORCH_MODULES_TO_PATCH:
            mod = sys.modules.get(module_name)
            if mod is not None:
                modules_to_patch.append(mod)
        
        if modules_to_patch:
            for func_name in TORCH_INIT_FUNCTIONS:
                replacement = global_vars.get(func_name)
                if replacement is None:
                    continue
                for module in modules_to_patch:
                    original = getattr(module, func_name, None)
                    if original is not None:
                        originals[module][func_name] = original
                        setattr(module, func_name, replacement)
        yield
    finally:
        for module, functions in originals.items():
            for func_name, func in functions.items():
                setattr(module, func_name, func)",2
huggingface__transformers__src__transformers__initialization.py__no_init_weights,no_init_weights,huggingface/transformers:src/transformers/initialization.py,ml,34,1,0,1,0,0,0,0,0,1,0,0,0,4,8,0,7,9.65188753666007e-10,5.68066580608138e-10,41.144508941852926,True,,"def no_init_weights():
    """"""
    Disable weight initialization both at the torch-level, and at the transformers-level (`init_weights`).
    This is used to speed-up initializing an empty model with deepspeed, as we do not initialize the model on meta device
    with deepspeed, but we still don't need to run expensive weight initializations as we are loading params afterwards.
    """"""
    from .modeling_utils import PreTrainedModel

    def empty_func(*args, **kwargs):
        pass

    originals = defaultdict(dict)
    try:
        # Replace all torch funcs by empty ones
        for module_name in TORCH_MODULES_TO_PATCH:
            if module_name in sys.modules:
                module = sys.modules[module_name]
                for func_name in TORCH_INIT_FUNCTIONS.keys():
                    if hasattr(module, func_name):
                        originals[module][func_name] = getattr(module, func_name)
                        setattr(module, func_name, empty_func)

        # Also patch our own `init_weights`
        original_init_weights = PreTrainedModel.init_weights
        PreTrainedModel.init_weights = empty_func

        yield
    finally:
        # Set back the original torch functions on all modules
        for module, functions in originals.items():
            for func_name, func in functions.items():
                setattr(module, func_name, func)
        # Set back `init_weights`
        PreTrainedModel.init_weights = original_init_weights","def no_init_weights():
    """"""
    Disable weight initialization both at the torch-level, and at the transformers-level (`init_weights`).
    This is used to speed-up initializing an empty model with deepspeed, as we do not initialize the model on meta device
    with deepspeed, but we still don't need to run expensive weight initializations as we are loading params afterwards.
    """"""
    from .modeling_utils import PreTrainedModel

    def empty_func(*args, **kwargs):
        pass

    originals = {}
    try:
        # Replace all torch funcs by empty ones
        for module_name in TORCH_MODULES_TO_PATCH:
            module = sys.modules.get(module_name)
            if module is not None:
                mod_originals = {}
                for func_name in TORCH_INIT_FUNCTIONS:
                    orig = getattr(module, func_name, None)
                    if orig is not None:
                        mod_originals[func_name] = orig
                        setattr(module, func_name, empty_func)
                if mod_originals:
                    originals[module] = mod_originals

        # Also patch our own `init_weights`
        original_init_weights = PreTrainedModel.init_weights
        PreTrainedModel.init_weights = empty_func

        yield
    finally:
        # Set back the original torch functions on all modules
        for module, functions in originals.items():
            for func_name, func in functions.items():
                setattr(module, func_name, func)
        # Set back `init_weights`
        PreTrainedModel.init_weights = original_init_weights",0
huggingface__transformers__benchmark_v2__framework__data_classes.py__add_unit_to_duration,add_unit_to_duration,huggingface/transformers:benchmark_v2/framework/data_classes.py,data_processing,16,1,0,0,0,0,0,1,0,0,0,0,1,1,2,5,7,2.5797493217542067e-09,2.9960845686146063e-10,88.38614068681179,True,,"def add_unit_to_duration(stats: dict[str, float]) -> dict[str, str]:
    for key in list(stats.keys()):
        value = stats[key]
        if value > 3600:
            stats[key] = f""{(value / 3600):.2f}hr""
        elif value > 60:
            stats[key] = f""{(value / 60):.2f}min""
        elif value > 1:
            stats[key] = f""{value:.2f}s""
        elif value > 1e-3:
            stats[key] = f""{(value * 1e3):.2f}ms""
        elif value > 1e-6:
            stats[key] = f""{(value * 1e6):.2f}us""
        else:
            stats[key] = f""{(value * 1e9):.2f}ns""
    return stats","def add_unit_to_duration(stats: dict[str, float]) -> dict[str, str]:
    for key, value in stats.items():
        if value > 3600:
            stats[key] = f""{value / 3600:.2f}hr""
        elif value > 60:
            stats[key] = f""{value / 60:.2f}min""
        elif value > 1:
            stats[key] = f""{value:.2f}s""
        elif value > 1e-3:
            stats[key] = f""{value * 1e3:.2f}ms""
        elif value > 1e-6:
            stats[key] = f""{value * 1e6:.2f}us""
        else:
            stats[key] = f""{value * 1e9:.2f}ns""
    return stats",2
huggingface__transformers__src__transformers__image_processing_utils.py__convert_to_size_dict,convert_to_size_dict,huggingface/transformers:src/transformers/image_processing_utils.py,data_processing,26,0,0,0,0,0,0,1,0,0,0,0,1,0,7,0,9,6.052940365698305e-10,4.397179712716024e-10,27.354650020432864,True,,"def convert_to_size_dict(
    size, max_size: int | None = None, default_to_square: bool = True, height_width_order: bool = True
):
    # By default, if size is an int we assume it represents a tuple of (size, size).
    if isinstance(size, int) and default_to_square:
        if max_size is not None:
            raise ValueError(""Cannot specify both size as an int, with default_to_square=True and max_size"")
        return {""height"": size, ""width"": size}
    # In other configs, if size is an int and default_to_square is False, size represents the length of
    # the shortest edge after resizing.
    elif isinstance(size, int) and not default_to_square:
        size_dict = {""shortest_edge"": size}
        if max_size is not None:
            size_dict[""longest_edge""] = max_size
        return size_dict
    # Otherwise, if size is a tuple it's either (height, width) or (width, height)
    elif isinstance(size, (tuple, list)) and height_width_order:
        return {""height"": size[0], ""width"": size[1]}
    elif isinstance(size, (tuple, list)) and not height_width_order:
        return {""height"": size[1], ""width"": size[0]}
    elif size is None and max_size is not None:
        if default_to_square:
            raise ValueError(""Cannot specify both default_to_square=True and max_size"")
        return {""longest_edge"": max_size}

    raise ValueError(f""Could not convert size input to size dict: {size}"")","def convert_to_size_dict(
    size, max_size: int | None = None, default_to_square: bool = True, height_width_order: bool = True
):
    if isinstance(size, int):
        if default_to_square:
            if max_size is not None:
                raise ValueError(""Cannot specify both size as an int, with default_to_square=True and max_size"")
            return {""height"": size, ""width"": size}
        else:
            if max_size is not None:
                return {""shortest_edge"": size, ""longest_edge"": max_size}
            return {""shortest_edge"": size}
    elif isinstance(size, (tuple, list)):
        if height_width_order:
            return {""height"": size[0], ""width"": size[1]}
        else:
            return {""height"": size[1], ""width"": size[0]}
    elif size is None and max_size is not None:
        if default_to_square:
            raise ValueError(""Cannot specify both default_to_square=True and max_size"")
        return {""longest_edge"": max_size}

    raise ValueError(f""Could not convert size input to size dict: {size}"")",2
huggingface__transformers__.github__scripts__assign_reviewers.py__pattern_to_regex,pattern_to_regex,huggingface/transformers:.github/scripts/assign_reviewers.py,other,12,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,3,2.4578152178597524e-09,3.3214073290000667e-10,86.48634240334663,True,,"def pattern_to_regex(pattern):
    if pattern.startswith(""/""):
        start_anchor = True
        pattern = re.escape(pattern[1:])
    else:
        start_anchor = False
        pattern = re.escape(pattern)
    # Replace `*` with ""any number of non-slash characters""
    pattern = pattern.replace(r""\*"", ""[^/]*"")
    if start_anchor:
        pattern = r""^\/?"" + pattern  # Allow an optional leading slash after the start of the string
    return pattern","def pattern_to_regex(pattern):
    if pattern.startswith(""/""):
        start_anchor = True
        pattern = re.escape(pattern[1:])
    else:
        start_anchor = False
        pattern = re.escape(pattern)
    
    if r""\*"" in pattern:
        pattern = pattern.replace(r""\*"", ""[^/]*"")
    
    if start_anchor:
        return r""^\/?"" + pattern
    return pattern",2
huggingface__transformers__.github__scripts__assign_reviewers.py__pr_author_is_in_hf,pr_author_is_in_hf,huggingface/transformers:.github/scripts/assign_reviewers.py,other,14,1,0,0,1,0,0,0,0,0,0,0,1,1,4,0,5,3.3385601573390886e-09,3.6427621782349887e-10,89.08882270631794,True,,"def pr_author_is_in_hf(pr_author, codeowners_lines):
    # Check if the PR author is in the codeowners file
    for line in codeowners_lines:
        line = line.split('#')[0].strip()
        if not line:
            continue

        # Split into pattern and owners
        parts = line.split()
        owners = [owner.removeprefix(""@"") for owner in parts[1:]]

        if pr_author in owners:
            return True
    return False","def pr_author_is_in_hf(pr_author, codeowners_lines):
    at_author = ""@"" + pr_author
    for line in codeowners_lines:
        hash_pos = line.find('#')
        if hash_pos != -1:
            line = line[:hash_pos]
        
        parts = line.split()
        for i in range(1, len(parts)):
            owner = parts[i]
            if owner == at_author or owner == pr_author:
                return True
    return False",2
huggingface__transformers__.circleci__parse_test_outputs.py__main,main,huggingface/transformers:.circleci/parse_test_outputs.py,other,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0.0010840679888273,4.3323730239353614e-10,99.99996003596576,True,,"def main():
    parser = argparse.ArgumentParser()
    parser.add_argument(""--file"", help=""file to parse"")
    parser.add_argument(""--skip"", action=""store_true"", help=""show skipped reasons"")
    parser.add_argument(""--fail"", action=""store_true"", help=""show failed tests"")
    parser.add_argument(""--errors"", action=""store_true"", help=""show failed tests"")
    args = parser.parse_args()

    if args.skip:
        parse_pytest_output(args.file)

    if args.fail:
        parse_pytest_failure_output(args.file)

    if args.errors:
        parse_pytest_errors_output(args.file)","def main():
    parser = argparse.ArgumentParser()
    parser.add_argument(""--file"", help=""file to parse"")
    parser.add_argument(""--skip"", action=""store_true"", help=""show skipped reasons"")
    parser.add_argument(""--fail"", action=""store_true"", help=""show failed tests"")
    parser.add_argument(""--errors"", action=""store_true"", help=""show failed tests"")
    args = parser.parse_args()

    if not (args.skip or args.fail or args.errors):
        return

    file = args.file

    if args.skip:
        parse_pytest_output(file)

    if args.fail:
        parse_pytest_failure_output(file)

    if args.errors:
        parse_pytest_errors_output(file)",2
