function_id,function_name,source_file,loc,has_for_loop,has_while_loop,has_nested_loops,num_loops,has_list_comp,has_dict_comp,has_generator,has_numpy,has_pandas,has_torch,has_tensorflow,has_sklearn,has_string_ops,num_function_calls,num_arithmetic_ops,cyclomatic_complexity,category,source_code
huggingface__transformers__.circleci__create_circleci_config.py__create_circleci_config,create_circleci_config,huggingface/transformers:.circleci/create_circleci_config.py,40,False,False,False,0,True,True,False,False,False,False,False,False,True,15,4,12,other,"def create_circleci_config(folder=None):
    if folder is None:
        folder = os.getcwd()
    os.environ[""test_preparation_dir""] = folder
    jobs = [k for k in ALL_TESTS if os.path.isfile(os.path.join(""test_preparation"" , f""{k.job_name}_test_list.txt"") )]
    print(""The following jobs will be run "", jobs)

    if len(jobs) == 0:
        jobs = [EmptyJob()]
    else:
        print(""Full list of job name inputs"", {j.job_name + ""_test_list"":{""type"":""string"", ""default"":''} for j in jobs})
        # Add a job waiting all the test jobs and aggregate their test summary files at the end
        collection_job = EmptyJob()
        collection_job.job_name = ""collection_job""
        jobs = [collection_job] + jobs

    config = {
        ""version"": ""2.1"",
        ""parameters"": {
            # Only used to accept the parameters from the trigger
            ""nightly"": {""type"": ""boolean"", ""default"": False},
            # Only used to accept the parameters from GitHub Actions trigger
            ""GHA_Actor"": {""type"": ""string"", ""default"": """"},
            ""GHA_Action"": {""type"": ""string"", ""default"": """"},
            ""GHA_Event"": {""type"": ""string"", ""default"": """"},
            ""GHA_Meta"": {""type"": ""string"", ""default"": """"},
            ""tests_to_run"": {""type"": ""string"", ""default"": """"},
            **{j.job_name + ""_test_list"":{""type"":""string"", ""default"":''} for j in jobs},
            **{j.job_name + ""_parallelism"":{""type"":""integer"", ""default"":1} for j in jobs},
        },
        ""jobs"": {j.job_name: j.to_dict() for j in jobs}
    }
    if ""CIRCLE_TOKEN"" in os.environ:
        # For private forked repo. (e.g. new model addition)
        config[""workflows""] = {""version"": 2, ""run_tests"": {""jobs"": [{j.job_name: {""context"": [""TRANSFORMERS_CONTEXT""]}} for j in jobs]}}
    else:
        # For public repo. (e.g. `transformers`)
        config[""workflows""] = {""version"": 2, ""run_tests"": {""jobs"": [j.job_name for j in jobs]}}
    with open(os.path.join(folder, ""generated_config.yml""), ""w"", encoding=""utf-8"") as f:
        f.write(yaml.dump(config, sort_keys=False, default_flow_style=False).replace(""' << pipeline"", "" << pipeline"").replace("">> '"", "" >>""))"
huggingface__transformers__.circleci__parse_test_outputs.py__parse_pytest_output,parse_pytest_output,huggingface/transformers:.circleci/parse_test_outputs.py,13,True,False,False,2,False,False,False,False,False,False,False,False,True,10,1,5,other,"def parse_pytest_output(file_path):
    skipped_tests = {}
    skipped_count = 0
    with open(file_path, 'r', encoding='utf-8') as file:
        for line in file:
            match = re.match(r'^SKIPPED \[(\d+)\] (tests/.*): (.*)$', line)
            if match:
                skipped_count += 1
                test_file, test_line, reason = match.groups()
                skipped_tests[reason] = skipped_tests.get(reason, []) + [(test_file, test_line)]
    for k,v in sorted(skipped_tests.items(), key=lambda x:len(x[1])):
        print(f""{len(v):4} skipped because: {k}"")
    print(""Number of skipped tests:"", skipped_count)"
huggingface__transformers__.circleci__parse_test_outputs.py__parse_pytest_failure_output,parse_pytest_failure_output,huggingface/transformers:.circleci/parse_test_outputs.py,15,True,False,False,2,False,False,False,False,False,False,False,False,True,11,1,6,other,"def parse_pytest_failure_output(file_path):
    failed_tests = {}
    failed_count = 0
    with open(file_path, 'r', encoding='utf-8') as file:
        for line in file:
            match = re.match(r'^FAILED (tests/.*) - (.*): (.*)$', line)
            if match:
                failed_count += 1
                _, error, reason = match.groups()
                failed_tests[reason] = failed_tests.get(reason, []) + [error]
    for k,v in sorted(failed_tests.items(), key=lambda x:len(x[1])):
        print(f""{len(v):4} failed because `{v[0]}` -> {k}"")
    print(""Number of failed tests:"", failed_count)
    if failed_count>0:
        exit(1)"
huggingface__transformers__.circleci__parse_test_outputs.py__parse_pytest_errors_output,parse_pytest_errors_output,huggingface/transformers:.circleci/parse_test_outputs.py,16,True,False,False,2,False,False,False,False,False,False,False,False,True,12,1,6,other,"def parse_pytest_errors_output(file_path):
    print(file_path)
    error_tests = {}
    error_count = 0
    with open(file_path, 'r', encoding='utf-8') as file:
        for line in file:
            match = re.match(r'^ERROR (tests/.*) - (.*): (.*)$', line)
            if match:
                error_count += 1
                _, test_error, reason = match.groups()
                error_tests[reason] = error_tests.get(reason, []) + [test_error]
    for k,v in sorted(error_tests.items(), key=lambda x:len(x[1])):
        print(f""{len(v):4} errored out because of `{v[0]}` -> {k}"")
    print(""Number of errors:"", error_count)
    if error_count>0:
        exit(1)"
huggingface__transformers__.circleci__parse_test_outputs.py__main,main,huggingface/transformers:.circleci/parse_test_outputs.py,16,False,False,False,0,False,False,False,False,False,False,False,False,False,9,0,4,other,"def main():
    parser = argparse.ArgumentParser()
    parser.add_argument(""--file"", help=""file to parse"")
    parser.add_argument(""--skip"", action=""store_true"", help=""show skipped reasons"")
    parser.add_argument(""--fail"", action=""store_true"", help=""show failed tests"")
    parser.add_argument(""--errors"", action=""store_true"", help=""show failed tests"")
    args = parser.parse_args()

    if args.skip:
        parse_pytest_output(args.file)

    if args.fail:
        parse_pytest_failure_output(args.file)

    if args.errors:
        parse_pytest_errors_output(args.file)"
huggingface__transformers__.github__scripts__assign_reviewers.py__pattern_to_regex,pattern_to_regex,huggingface/transformers:.github/scripts/assign_reviewers.py,12,False,False,False,0,False,False,False,False,False,False,False,False,True,4,1,3,other,"def pattern_to_regex(pattern):
    if pattern.startswith(""/""):
        start_anchor = True
        pattern = re.escape(pattern[1:])
    else:
        start_anchor = False
        pattern = re.escape(pattern)
    # Replace `*` with ""any number of non-slash characters""
    pattern = pattern.replace(r""\*"", ""[^/]*"")
    if start_anchor:
        pattern = r""^\/?"" + pattern  # Allow an optional leading slash after the start of the string
    return pattern"
huggingface__transformers__.github__scripts__assign_reviewers.py__get_file_owners,get_file_owners,huggingface/transformers:.github/scripts/assign_reviewers.py,19,True,False,False,1,True,False,False,False,False,False,False,False,True,7,0,5,other,"def get_file_owners(file_path, codeowners_lines):
    # Process lines in reverse (last matching pattern takes precedence)
    for line in reversed(codeowners_lines):
        # Skip comments and empty lines, strip inline comments
        line = line.split('#')[0].strip()
        if not line:
            continue

        # Split into pattern and owners
        parts = line.split()
        pattern = parts[0]
        # Can be empty, e.g. for dummy files with explicitly no owner!
        owners = [owner.removeprefix(""@"") for owner in parts[1:]]

        # Check if file matches pattern
        file_regex = pattern_to_regex(pattern)
        if re.search(file_regex, file_path) is not None:
            return owners  # Remember, can still be empty!
    return []  # Should never happen, but just in case"
huggingface__transformers__.github__scripts__assign_reviewers.py__pr_author_is_in_hf,pr_author_is_in_hf,huggingface/transformers:.github/scripts/assign_reviewers.py,14,True,False,False,1,True,False,False,False,False,False,False,False,True,4,0,5,other,"def pr_author_is_in_hf(pr_author, codeowners_lines):
    # Check if the PR author is in the codeowners file
    for line in codeowners_lines:
        line = line.split('#')[0].strip()
        if not line:
            continue

        # Split into pattern and owners
        parts = line.split()
        owners = [owner.removeprefix(""@"") for owner in parts[1:]]

        if pr_author in owners:
            return True
    return False"
huggingface__transformers__.github__scripts__assign_reviewers.py__main,main,huggingface/transformers:.github/scripts/assign_reviewers.py,44,True,False,True,2,True,False,False,False,False,False,False,False,True,25,1,11,other,"def main():
    script_dir = Path(__file__).parent.absolute()
    with open(script_dir / ""codeowners_for_review_action"") as f:
        codeowners_lines = f.readlines()

    g = Github(os.environ['GITHUB_TOKEN'])
    repo = g.get_repo(""huggingface/transformers"")
    with open(os.environ['GITHUB_EVENT_PATH']) as f:
        event = json.load(f)

    # The PR number is available in the event payload
    pr_number = event['pull_request']['number']
    pr = repo.get_pull(pr_number)
    pr_author = pr.user.login
    if pr_author_is_in_hf(pr_author, codeowners_lines):
        print(f""PR author {pr_author} is in codeowners, skipping review request."")
        return

    existing_reviews = list(pr.get_reviews())
    if existing_reviews:
        print(f""Already has reviews: {[r.user.login for r in existing_reviews]}"")
        return

    users_requested, teams_requested = pr.get_review_requests()
    users_requested = list(users_requested)
    if users_requested:
        print(f""Reviewers already requested: {users_requested}"")
        return

    locs_per_owner = Counter()
    for file in pr.get_files():
        owners = get_file_owners(file.filename, codeowners_lines)
        for owner in owners:
            locs_per_owner[owner] += file.changes

    # Assign the top 2 based on locs changed as reviewers, but skip the owner if present
    locs_per_owner.pop(pr_author, None)
    top_owners = locs_per_owner.most_common(2)
    print(""Top owners"", top_owners)
    top_owners = [owner[0] for owner in top_owners]
    try:
        pr.create_review_request(top_owners)
    except github.GithubException as e:
        print(f""Failed to request review for {top_owners}: {e}"")"
huggingface__transformers__benchmark__benches__llama.py__collect_metrics,collect_metrics,huggingface/transformers:benchmark/benches/llama.py,13,False,True,False,1,False,False,False,False,False,True,False,False,False,9,2,3,ml,"def collect_metrics(benchmark_id, continue_metric_collection, metrics_recorder):
    p = psutil.Process(os.getpid())
    while not continue_metric_collection.is_set():
        with p.oneshot():
            cpu_util = p.cpu_percent()
            mem_megabytes = p.memory_info().rss / (1024 * 1024)
        gpu_stats = gpustat.GPUStatCollection.new_query()
        gpu_util = gpu_stats[0][""utilization.gpu""]
        gpu_mem_megabytes = gpu_stats[0][""memory.used""]
        metrics_recorder.collect_device_measurements(
            benchmark_id, cpu_util, mem_megabytes, gpu_util, gpu_mem_megabytes
        )
        sleep(0.01)"
huggingface__transformers__benchmark__benchmark.py__checkout_commit,checkout_commit,huggingface/transformers:benchmark/benchmark.py,15,False,False,False,0,False,False,False,False,False,False,False,False,False,2,0,2,other,"def checkout_commit(repo: Repo, commit_id: str):
    """"""
    Context manager that checks out a given commit when entered, but gets back to the reference it was at on exit.
    Args:
        repo (`git.Repo`): A git repository (for instance the Transformers repo).
        commit_id (`str`): The commit reference to checkout inside the context manager.
    """"""
    current_head = repo.head.commit if repo.head.is_detached else repo.head.ref

    try:
        repo.git.checkout(commit_id)
        yield

    finally:
        repo.git.checkout(current_head)"
